N,representation_type,execution_time,conflict_rate
4,BoardPerm,1.4244019985198974e-07,1.0
4,BoardMatrix,1.1500393156893552e-06,1.0
4,BoardMatrix (optimized),2.1472596563398838e-07,1.0
4,BoardTuple,2.588951610960066e-07,1.0
4,BoardVector,1.4725420624017715e-07,1.0
8,BoardPerm,1.3486482203006745e-07,1.0
8,BoardMatrix,2.388595952652395e-06,1.0
8,BoardMatrix (optimized),3.4500431502237915e-07,1.0
8,BoardTuple,1.3939320342615247e-07,1.0
8,BoardVector,1.5326659195125102e-07,1.0
16,BoardPerm,4.412381094880402e-07,1.0
16,BoardMatrix,6.203611264936626e-07,1.0
16,BoardMatrix (optimized),1.2091518146917223e-07,1.0
16,BoardTuple,1.9630702445283532e-07,1.0
16,BoardVector,5.026300204917789e-07,1.0
32,BoardPerm,7.620113319717347e-07,1.0
32,BoardMatrix,5.180931359063834e-06,1.0
32,BoardMatrix (optimized),6.081004394218325e-07,1.0
32,BoardTuple,1.5385166043415665e-06,1.0
32,BoardVector,1.893794978968799e-07,1.0
64,BoardPerm,4.0669025038369e-06,1.0
64,BoardMatrix,9.614953014533967e-06,1.0
64,BoardMatrix (optimized),9.101381874643266e-07,1.0
64,BoardTuple,4.558166256174445e-07,1.0
64,BoardVector,1.0068585979752243e-06,1.0
128,BoardPerm,2.416006464045495e-06,1.0
128,BoardMatrix,5.0560555304400624e-05,1.0
128,BoardMatrix (optimized),4.568591073621065e-06,1.0
128,BoardTuple,2.2925023804418745e-06,1.0
128,BoardVector,9.561658313032239e-06,1.0
256,BoardPerm,6.406695581972599e-06,1.0
256,BoardMatrix,8.350921398960054e-05,1.0
256,BoardMatrix (optimized),6.703216698952019e-06,1.0
256,BoardTuple,1.0551339131779968e-05,1.0
256,BoardVector,5.1665655919350685e-06,1.0
512,BoardPerm,6.773094879463315e-06,1.0
512,BoardMatrix,2.6575190131552516e-05,1.0
512,BoardMatrix (optimized),1.8959573935717344e-06,1.0
512,BoardTuple,1.213805575389415e-05,1.0
512,BoardVector,4.441552970092744e-06,1.0
1024,BoardPerm,2.433459856547415e-06,1.0
1024,BoardMatrix,0.00011033064947696403,1.0
1024,BoardMatrix (optimized),6.702054000925272e-06,1.0
1024,BoardTuple,2.915231802035123e-06,1.0
1024,BoardVector,2.4776810430921615e-05,1.0
2048,BoardPerm,0.00012493896851083262,1.0
2048,BoardMatrix,0.0002107905062730424,1.0
2048,BoardMatrix (optimized),7.010119094047696e-06,1.0
2048,BoardTuple,9.025383449625224e-05,1.0
2048,BoardVector,7.257210440002382e-05,1.0
4096,BoardPerm,3.080499602947384e-05,1.0
4096,BoardMatrix,0.0014840116728446447,1.0
4096,BoardMatrix (optimized),4.114496021065861e-05,1.0
4096,BoardTuple,0.00020015106385108084,1.0
4096,BoardVector,0.00031661183497635646,1.0
8192,BoardPerm,7.530828705057502e-06,1.0
8192,BoardMatrix,0.0030093991724424994,1.0
8192,BoardMatrix (optimized),8.261987427249551e-05,1.0
8192,BoardTuple,0.0004325816057971679,1.0
8192,BoardVector,4.3909616535529494e-05,1.0
16384,BoardPerm,8.751926885452122e-05,1.0
16384,BoardMatrix,0.011051855144265573,1.0
16384,BoardMatrix (optimized),0.0003042195928283036,1.0
16384,BoardTuple,0.000641659127373714,1.0
16384,BoardVector,0.00017338153353193774,1.0
32768,BoardPerm,8.97480867570266e-06,1.0
32768,BoardMatrix,0.013347467204381246,1.0
32768,BoardMatrix (optimized),0.00033554126328090204,1.0
32768,BoardTuple,0.001657200809509959,1.0
32768,BoardVector,0.0001733121918514371,1.0
